source_search_url,source_search_number,source_search_name,link,rank,title,make_model,description,year,mileage_km,fuel,transmission,location,seller_name,services,price_nok,normalized_price,normalized_year,normalized_mileage,value_score
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.777,3,Kia_til_salgs___FINN_732_treff,https://www.finn.no/mobility/item/472287125,1,Kia Soul | EXCLUSIVE* 2.Eiere / V.Pakke/EU-OK/V.pumpe/Cruise/R.kam,Kia Soul,EXCLUSIVE* 2.Eiere / V.Pakke/EU-OK/V.pumpe/Cruise/R.kam,2016,101709.0,,Automat,29 900,kr,,29900.0,0.0829512296790329,0.6111111111111112,0.0445147658783093,0.8234233519277707
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.777,3,Kia_til_salgs___FINN_732_treff,https://www.finn.no/mobility/item/474847070,2,Kia Soul | EV | 110 km rekkevidde | Skinn | R.Kam | CC |,Kia Soul,EV | 110 km rekkevidde | Skinn | R.Kam | CC |,2017,120000.0,,,49 000,kr,,49000.0,0.1625677365568987,0.6666666666666666,0.0534195690486159,0.8158661631992481
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.777,3,Kia_til_salgs___FINN_732_treff,https://www.finn.no/mobility/item/462973365,3,Kia Soul | Classic,Kia Soul,Classic,2016,115000.0,,,35 000,kr,,35000.0,0.1042100875364735,0.6111111111111112,0.0509853655686786,0.8147809846789094
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.777,3,Kia_til_salgs___FINN_732_treff,https://www.finn.no/mobility/item/474909305,4,Bilde 1 av 19 | Kia Soul,Bilde 1 av 19,Kia Soul,2016,87800.0,,,39 532,kr,,39532.0,0.1231012922050854,0.6111111111111112,0.0377432986378197,0.8137483467041263
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.777,3,Kia_til_salgs___FINN_732_treff,https://www.finn.no/mobility/item/472251958,5,Kia Soul | Soul EV Exclusive,Kia Soul,Soul EV Exclusive,2019,136700.0,,,79 800,kr,,79800.0,0.2909545644018341,0.7777777777777778,0.0615498086716064,0.8133934198666097
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.772,4,Hyundai_til_salgs___FINN_692_treff,https://www.finn.no/mobility/item/462677402,1,Hyundai Nexo | Fuelcell Panorama,Hyundai Nexo,Fuelcell Panorama,2019,23207.0,Hydrogen,Automat,89 532,kr,,89532.0,0.33993529745882,0.8076923076923077,0.0535930110505632,0.8119541645869646
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.772,4,Hyundai_til_salgs___FINN_692_treff,https://www.finn.no/mobility/item/464496683,2,Hyundai Nexo | LIMITED EDITION Hydrogen. Kjør i kollektivfeltet,Hyundai Nexo,LIMITED EDITION Hydrogen. Kjør i kollektivfeltet,2019,29000.0,Hydrogen,Automat,99 000,kr,,99000.0,0.3789049959252216,0.8076923076923077,0.0671356201243217,0.7955233418712286
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.772,4,Hyundai_til_salgs___FINN_692_treff,https://www.finn.no/mobility/item/464496992,3,"Hyundai Nexo | LIMITED EDITION, GRATIS BOM, KJØR I KOLLEKTIVFELTET",Hyundai Nexo,"LIMITED EDITION, GRATIS BOM, KJØR I KOLLEKTIVFELTET",2019,36000.0,Hydrogen,Automat,99 000,kr,,99000.0,0.3789049959252216,0.8076923076923077,0.0834998983076998,0.7897958445070462
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.772,4,Hyundai_til_salgs___FINN_692_treff,https://www.finn.no/mobility/item/472016609,4,Bilde 1 av 15 | Hyundai i10,Bilde 1 av 15,Hyundai i10,2014,72274.0,Bensin,Manuell,26 942,kr,,26942.0,0.0823187546818791,0.6153846153846154,0.1682995878539651,0.7817841332311638
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.772,4,Hyundai_til_salgs___FINN_692_treff,https://www.finn.no/mobility/item/473985640,5,Hyundai i10 | LAV KM! / Ny EU / Ny service / Ny sommerdekk,Hyundai i10,LAV KM! / Ny EU / Ny service / Ny sommerdekk,2017,44500.0,Bensin,Manuell,79 900,kr,,79900.0,0.300290585204027,0.7307692307692307,0.1033708075303732,0.7795022725723919
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.784,5,Mazda_til_salgs___FINN_863_treff,https://www.finn.no/mobility/item/474642813,1,Mazda MX-30 | Delskinn/Bose,Mazda MX-30,Delskinn/Bose,2021,21650.0,,,133 000,kr,,133000.0,0.5186334126011075,0.9230769230769232,0.0586981239340534,0.7969425559196721
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.784,5,Mazda_til_salgs___FINN_863_treff,https://www.finn.no/mobility/item/472132353,2,Mazda MX-30 | Sky,Mazda MX-30,Sky,2021,19300.0,,,145 000,kr,,145000.0,0.5680043446420197,0.9230769230769232,0.0520181921546333,0.7844692524301955
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.784,5,Mazda_til_salgs___FINN_863_treff,https://www.finn.no/mobility/item/472914827,3,Mazda MX-30 | Exclusive Line 200km/ ACC/ Del-Skinn/ Norsk/ P.Varmer++,Mazda MX-30,Exclusive Line 200km/ ACC/ Del-Skinn/ Norsk/ P.Varmer++,2021,28000.0,,,140 000,kr,,140000.0,0.5474331229583063,0.9230769230769232,0.076748152359295,0.781985132863678
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.784,5,Mazda_til_salgs___FINN_863_treff,https://www.finn.no/mobility/item/470640729,4,Mazda MX-30 | Makoto Premium Pack,Mazda MX-30,Makoto Premium Pack,2023,20330.0,,,157 505,kr,,157505.0,0.6194529700729867,0.9615384615384616,0.0549459920409323,0.7814714733022392
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.784,5,Mazda_til_salgs___FINN_863_treff,https://www.finn.no/mobility/item/472498599,5,Mazda MX-30 | Advantage,Mazda MX-30,Advantage,2024,10500.0,,,174 505,kr,,174505.0,0.6893951237976121,0.9807692307692308,0.027003979533826,0.776999300793108
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.8078,6,Tesla_til_salgs___FINN_492_treff,https://www.finn.no/mobility/item/474982042,1,Tesla Model 3 | Standard Range Plus RWD,Tesla Model 3,Standard Range Plus RWD,2021,74700.0,,,195 532,kr,,195532.0,0.741963913422539,0.8,0.1323000428301382,0.66110581098269
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.8078,6,Tesla_til_salgs___FINN_492_treff,https://www.finn.no/mobility/item/388147302,2,Tesla Model 3 | RWD 283hk,Tesla Model 3,RWD 283hk,2023,94778.0,,,242 343,kr,,242343.0,0.9637665365224972,1.0,0.1969574500288217,0.6419349315331632
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.8078,6,Tesla_til_salgs___FINN_492_treff,https://www.finn.no/mobility/item/474363940,3,Tesla Model 3 | Standard Range Plus RWD,Tesla Model 3,Standard Range Plus RWD,2021,64561.0,,,219 000,kr,,219000.0,0.8531613661347182,0.8,0.0996493081161501,0.639174332318932
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.8078,6,Tesla_til_salgs___FINN_492_treff,https://www.finn.no/mobility/item/474755797,4,Tesla Model 3 | Standard Range Plus RWD,Tesla Model 3,Standard Range Plus RWD,2021,57996.0,,,229 900,kr,,229900.0,0.90480838482241,0.8,0.0785079654396207,0.6310796966494097
https://www.finn.no/mobility/search/car?price_to=250000&registration_class=1&sales_form=1&variant=0.8078,6,Tesla_til_salgs___FINN_492_treff,https://www.finn.no/mobility/item/455705152,5,Tesla Model 3 | SR+ Panorama Ryggekamera Krok S+V,Tesla Model 3,SR+ Panorama Ryggekamera Krok S+V,2020,65000.0,,,199 999,kr,,199999.0,0.7631297145673023,0.7,0.1010630247094474,0.6306890269815026
https://www.finn.no/mobility/search/car?geoLocationName=Hansbakken+9&lat=61.120673&lon=10.45516&radius=30000,7,Brukte_og_nye_biler_til_salgs___68_261_biler___FINN_639_treff,https://www.finn.no/mobility/item/473863736,1,Volkswagen ID.3 | pro highline 59kwh 204hk Matrix | R.kam | ACC,Volkswagen ID.3,pro highline 59kwh 204hk Matrix | R.kam | ACC,2026,5795.0,,,4 719,kr/mnd,,4719.0,0.0006681881925921,1.0,0.01283471019468,0.9953073949740844
https://www.finn.no/mobility/search/car?geoLocationName=Hansbakken+9&lat=61.120673&lon=10.45516&radius=30000,7,Brukte_og_nye_biler_til_salgs___68_261_biler___FINN_639_treff,https://www.finn.no/mobility/item/473895282,2,Volkswagen ID.3 | pro highline 59kwh 204hk Matrix | R.kam | ACC,Volkswagen ID.3,pro highline 59kwh 204hk Matrix | R.kam | ACC,2026,11730.0,,,3 990,kr/mnd,,3990.0,0.0,1.0,0.0259794910411729,0.9909071781355894
https://www.finn.no/mobility/search/car?geoLocationName=Hansbakken+9&lat=61.120673&lon=10.45516&radius=30000,7,Brukte_og_nye_biler_til_salgs___68_261_biler___FINN_639_treff,https://www.finn.no/mobility/item/473165138,3,Dongfeng Vigo | 340 km/Signature/CarPlay/570L/Panorama/Demobil,Dongfeng Vigo,340 km/Signature/CarPlay/570L/Panorama/Demobil,2026,150.0,,,269 000,kr,,269000.0,0.2429033647720919,1.0,0.0003322185555137,0.9270127140739426
https://www.finn.no/mobility/search/car?geoLocationName=Hansbakken+9&lat=61.120673&lon=10.45516&radius=30000,7,Brukte_og_nye_biler_til_salgs___68_261_biler___FINN_639_treff,https://www.finn.no/mobility/item/115956646,4,Bilde 1 av 8 | Ford Ka,Bilde 1 av 8,Ford Ka,2015,34000.0,Bensin,Manuell,53 236,kr,,53236.0,0.0451379914024619,0.875,0.07530287258311,0.9163525971751728
https://www.finn.no/mobility/search/car?geoLocationName=Hansbakken+9&lat=61.120673&lon=10.45516&radius=30000,7,Brukte_og_nye_biler_til_salgs___68_261_biler___FINN_639_treff,https://www.finn.no/mobility/item/469245140,5,Zeekr X | Core (RWD),Zeekr X,Core (RWD),2026,0.0,,Automat,311 900,kr,,311900.0,0.2822247275460353,1.0,0.0,0.9153325817361894
